,0,1,2,3,4,5,6,7,8,9,10,11,,0.098039216,9.803921569,,
116,59,67,57,54,64,68,65,67,67,61,57,64,,1.333333333,53.33333333,41.015625,6.8359375
117,59,66,60,60,63,67,65,67,67,60,57,63,,1.31372549,52.54901961,38.57421875,21.484375
118,58,67,53,62,64,67,67,65,67,62,57,60,,1.31372549,52.54901961,38.57421875,26.3671875
119,59,66,57,58,65,68,67,65,67,61,57,62,,1.333333333,53.33333333,41.015625,16.6015625
120,59,67,65,58,63,67,65,67,67,60,57,65,,1.31372549,52.54901961,38.57421875,16.6015625
121,59,67,59,59,64,67,65,66,67,62,57,61,,1.31372549,52.54901961,38.57421875,19.04296875
122,58,67,53,58,64,67,66,66,68,61,57,57,,1.31372549,52.54901961,38.57421875,16.6015625
123,59,67,57,51,65,67,68,65,67,59,56,60,,1.31372549,52.54901961,38.57421875,-0.48828125
124,59,67,54,55,65,67,66,65,68,60,57,59,,1.31372549,52.54901961,38.57421875,9.27734375
125,58,67,57,63,65,67,66,64,67,64,57,62,,1.31372549,52.54901961,38.57421875,28.80859375
126,58,67,55,56,64,68,66,66,67,60,56,63,,1.333333333,53.33333333,41.015625,11.71875
127,58,67,58,64,64,68,66,67,67,59,57,61,,1.333333333,53.33333333,41.015625,31.25
128,58,68,59,57,63,68,67,69,68,61,57,59,,1.333333333,53.33333333,41.015625,14.16015625
129,59,67,60,63,65,68,67,67,69,59,57,61,,1.333333333,53.33333333,41.015625,28.80859375
130,59,68,58,53,65,68,67,67,68,62,57,63,,1.333333333,53.33333333,41.015625,4.39453125
131,59,68,61,60,65,68,68,69,68,61,57,61,,1.333333333,53.33333333,41.015625,21.484375
132,59,68,54,58,64,68,68,68,68,60,57,64,,1.333333333,53.33333333,41.015625,16.6015625
133,59,68,57,58,64,68,68,67,68,61,57,63,,1.333333333,53.33333333,41.015625,16.6015625
134,51,68,54,65,64,68,70,68,69,61,57,60,,1.333333333,53.33333333,41.015625,33.69140625
135,59,69,59,60,65,69,67,68,68,61,58,62,,1.352941176,54.11764706,43.45703125,21.484375
136,58,68,57,62,66,68,65,69,68,59,58,61,,1.333333333,53.33333333,41.015625,26.3671875
137,57,68,58,57,65,68,65,67,68,61,57,59,,1.333333333,53.33333333,41.015625,14.16015625
138,58,68,55,58,65,67,64,66,67,60,57,61,,1.31372549,52.54901961,38.57421875,16.6015625
139,58,68,60,55,66,67,67,65,68,60,57,61,,1.31372549,52.54901961,38.57421875,9.27734375
140,58,68,57,56,65,68,67,66,68,63,58,63,,1.333333333,53.33333333,41.015625,11.71875
141,58,68,60,52,65,67,67,66,67,61,57,64,,1.31372549,52.54901961,38.57421875,1.953125
142,59,68,60,56,65,68,68,64,68,65,57,62,,1.333333333,53.33333333,41.015625,11.71875
143,57,67,59,64,64,68,68,66,68,63,57,64,,1.333333333,53.33333333,41.015625,31.25
144,57,67,60,59,63,67,65,65,67,62,57,61,,1.31372549,52.54901961,38.57421875,19.04296875
145,57,67,59,59,63,68,66,67,68,64,57,62,,1.333333333,53.33333333,41.015625,19.04296875
146,58,67,61,60,63,67,65,66,67,61,57,64,,1.31372549,52.54901961,38.57421875,21.484375
147,55,67,64,63,66,67,67,68,67,62,57,61,,1.31372549,52.54901961,38.57421875,28.80859375
148,56,67,62,56,65,67,66,68,68,61,57,57,,1.31372549,52.54901961,38.57421875,11.71875
149,54,69,55,59,63,67,67,65,67,62,57,63,,1.31372549,52.54901961,38.57421875,19.04296875
150,56,74,59,51,65,68,68,66,68,59,58,62,,1.333333333,53.33333333,41.015625,-0.48828125
151,55,73,61,56,65,68,67,65,68,60,57,60,,1.333333333,53.33333333,41.015625,11.71875
152,56,77,58,57,66,68,66,66,68,59,57,62,,1.333333333,53.33333333,41.015625,14.16015625
153,56,75,57,57,64,68,67,65,68,60,58,64,,1.333333333,53.33333333,41.015625,14.16015625
154,56,76,57,63,65,67,66,66,68,61,57,61,,1.31372549,52.54901961,38.57421875,28.80859375
155,56,75,56,61,65,68,66,67,69,62,57,62,,1.333333333,53.33333333,41.015625,23.92578125
156,54,89,58,59,66,68,67,67,68,64,57,66,,1.333333333,53.33333333,41.015625,19.04296875
157,56,91,55,61,66,68,67,67,67,60,57,59,,1.333333333,53.33333333,41.015625,23.92578125
158,56,95,59,58,66,68,67,67,67,62,57,62,,1.333333333,53.33333333,41.015625,16.6015625
159,56,91,56,53,66,68,67,68,67,63,57,60,,1.333333333,53.33333333,41.015625,4.39453125
160,56,77,62,59,66,68,66,66,68,61,57,63,,1.333333333,53.33333333,41.015625,19.04296875
161,56,85,65,54,66,67,66,66,67,61,57,62,,1.31372549,52.54901961,38.57421875,6.8359375
162,56,90,68,57,65,67,65,66,68,64,57,62,,1.31372549,52.54901961,38.57421875,14.16015625
163,56,90,67,59,66,68,67,66,67,62,57,61,,1.333333333,53.33333333,41.015625,19.04296875
164,56,91,71,56,66,68,67,66,67,63,57,61,,1.333333333,53.33333333,41.015625,11.71875
165,56,91,70,61,67,67,67,67,67,62,56,65,,1.31372549,52.54901961,38.57421875,23.92578125
166,56,97,73,58,66,68,67,67,67,62,57,59,,1.333333333,53.33333333,41.015625,16.6015625
167,56,91,71,65,67,68,67,66,67,63,56,57,,1.333333333,53.33333333,41.015625,33.69140625
168,57,90,76,55,72,67,67,67,67,62,57,61,,1.31372549,52.54901961,38.57421875,9.27734375
169,56,87,72,57,73,67,66,66,68,62,56,56,,1.31372549,52.54901961,38.57421875,14.16015625
170,57,91,73,60,69,67,66,67,68,62,57,62,,1.31372549,52.54901961,38.57421875,21.484375
171,57,91,73,59,80,70,67,67,68,60,57,61,,1.37254902,54.90196078,45.8984375,19.04296875
172,56,92,77,59,75,69,67,67,69,62,57,62,,1.352941176,54.11764706,43.45703125,19.04296875
173,56,90,72,59,67,72,67,67,67,62,56,60,,1.411764706,56.47058824,50.78125,19.04296875
174,57,89,75,63,74,70,68,67,68,60,57,61,,1.37254902,54.90196078,45.8984375,28.80859375
175,57,87,73,63,68,71,67,67,68,59,57,61,,1.392156863,55.68627451,48.33984375,28.80859375
176,58,87,72,65,79,78,67,67,68,62,57,59,,1.529411765,61.17647059,65.4296875,33.69140625
177,58,86,72,60,75,80,68,67,68,59,57,60,,1.568627451,62.74509804,70.3125,21.484375
178,58,85,76,63,76,72,75,68,68,62,57,63,,1.411764706,56.47058824,50.78125,28.80859375
179,58,84,72,62,71,83,73,67,68,63,57,62,,1.62745098,65.09803922,77.63671875,26.3671875
180,58,83,77,65,77,89,72,68,67,63,57,66,,1.745098039,69.80392157,92.28515625,33.69140625
181,58,82,61,65,74,89,75,69,67,62,57,59,,1.745098039,69.80392157,92.28515625,33.69140625
182,59,80,63,62,89,92,76,70,67,62,57,60,,1.803921569,72.15686275,99.609375,26.3671875
183,59,79,57,63,87,93,81,73,67,62,57,62,,1.823529412,72.94117647,102.0507813,28.80859375
184,59,79,58,59,93,85,74,71,68,61,57,57,,1.666666667,66.66666667,82.51953125,19.04296875
185,60,78,62,66,88,84,83,69,67,61,57,61,,1.647058824,65.88235294,,
186,60,77,59,63,88,91,86,70,67,59,57,62,,1.784313725,71.37254902,,
187,60,75,56,64,78,92,85,75,68,62,57,63,,1.803921569,72.15686275,,
188,59,74,57,61,73,90,79,76,70,62,57,59,,1.764705882,70.58823529,,
189,59,74,57,61,79,98,76,71,71,62,57,56,,1.921568627,76.8627451,,
190,60,73,54,63,75,97,83,73,71,61,57,60,,1.901960784,76.07843137,,
191,59,72,57,60,75,93,80,72,74,61,57,56,,1.823529412,72.94117647,,
192,60,71,55,52,74,80,89,73,79,59,57,62,,1.568627451,62.74509804,,
193,60,71,57,56,73,85,89,73,79,63,57,58,,1.666666667,66.66666667,,
194,60,72,55,53,72,84,92,69,83,62,57,63,,1.647058824,65.88235294,,
195,60,71,57,57,69,95,91,74,82,66,57,61,,1.862745098,74.50980392,,
196,61,71,54,63,68,89,88,73,86,75,57,62,,1.745098039,69.80392157,,
197,60,70,58,60,67,88,85,78,85,74,57,64,,1.725490196,69.01960784,,
198,62,69,53,59,67,87,81,74,88,79,57,62,,1.705882353,68.23529412,,
199,60,68,59,60,67,86,85,89,89,78,57,60,,1.68627451,67.45098039,,
200,61,67,55,58,67,85,81,81,88,78,57,65,,1.666666667,66.66666667,,
201,62,70,60,60,65,82,82,82,85,78,57,62,,1.607843137,64.31372549,,
202,62,69,57,55,65,81,80,91,93,76,57,65,,1.588235294,63.52941176,,
203,62,69,59,52,65,79,77,82,87,84,57,65,,1.549019608,61.96078431,,
204,61,68,60,55,61,77,73,77,84,74,56,59,,1.509803922,60.39215686,,
205,61,67,59,62,62,75,70,74,81,71,56,61,,1.470588235,58.82352941,,
206,62,67,60,57,59,74,68,71,80,68,56,62,,1.450980392,58.03921569,,
207,63,66,61,63,60,73,66,69,78,66,56,61,,1.431372549,57.25490196,,
208,62,67,61,60,57,72,66,68,76,65,56,63,,1.411764706,56.47058824,,
209,63,67,63,58,62,71,64,67,75,64,56,61,,1.392156863,55.68627451,,
210,63,67,58,60,62,72,67,67,74,63,56,59,,1.411764706,56.47058824,,
211,63,67,65,58,64,70,64,66,73,62,56,63,,1.37254902,54.90196078,,
212,64,67,60,51,64,71,65,66,72,59,56,59,,1.392156863,55.68627451,,
213,63,68,59,56,62,70,67,65,70,61,56,57,,1.37254902,54.90196078,,
214,64,67,58,54,62,69,66,64,70,59,56,60,,1.352941176,54.11764706,,
215,63,67,58,62,62,68,67,65,70,61,57,61,,1.333333333,53.33333333,,
216,63,66,58,63,62,70,67,64,69,65,57,61,,1.37254902,54.90196078,,
217,63,68,59,53,64,68,65,68,68,58,57,62,,1.333333333,53.33333333,,
218,62,68,59,58,64,68,66,68,69,61,58,64,,1.333333333,53.33333333,,
219,62,68,66,56,62,69,65,67,69,63,58,61,,1.352941176,54.11764706,,
220,61,67,60,56,63,68,65,67,68,62,56,62,,1.333333333,53.33333333,,
221,61,67,65,54,62,68,65,67,68,59,57,61,,1.333333333,53.33333333,,
222,60,67,57,55,64,69,65,67,68,61,56,61,,1.352941176,54.11764706,,
223,62,69,58,54,64,68,69,67,68,63,57,60,,1.333333333,53.33333333,,
224,60,67,58,60,64,67,66,66,67,60,57,62,,1.31372549,52.54901961,,
225,60,68,59,59,66,68,66,66,67,59,57,62,,1.333333333,53.33333333,,
226,58,67,57,59,64,67,67,67,68,60,57,63,,1.31372549,52.54901961,,
227,60,68,54,59,64,68,65,65,68,61,57,62,,1.333333333,53.33333333,,
228,60,68,58,60,62,67,65,66,68,60,57,57,,1.31372549,52.54901961,,
229,60,68,55,58,63,67,64,66,67,59,57,61,,1.31372549,52.54901961,,
230,60,68,59,55,63,68,66,66,67,60,57,61,,1.333333333,53.33333333,,
231,59,68,57,56,64,68,66,66,68,60,57,62,,1.333333333,53.33333333,,
232,59,67,59,51,65,68,67,66,67,60,57,63,,1.333333333,53.33333333,,
233,60,67,59,56,65,67,67,66,67,64,57,62,,1.31372549,52.54901961,,
234,60,67,59,63,65,67,68,67,67,62,57,63,,1.31372549,52.54901961,,
235,60,67,54,60,64,67,67,65,67,62,57,62,,1.31372549,52.54901961,,
236,60,68,58,58,65,68,69,67,68,63,57,64,,1.333333333,53.33333333,,
237,60,67,57,57,64,67,65,67,67,62,57,61,,1.31372549,52.54901961,,
238,59,68,66,63,64,67,67,66,67,61,57,61,,1.31372549,52.54901961,,
239,60,68,60,52,65,68,66,67,68,62,57,64,,1.333333333,53.33333333,,
240,60,67,59,55,64,67,65,67,67,60,57,60,,1.31372549,52.54901961,,
241,60,67,60,59,64,68,67,68,68,61,57,58,,1.333333333,53.33333333,,
242,62,68,60,57,64,68,67,67,68,59,57,60,,1.333333333,53.33333333,,
243,61,67,62,64,63,67,66,66,67,61,57,56,,1.31372549,52.54901961,,
244,60,67,59,60,64,67,67,67,67,60,57,62,,1.31372549,52.54901961,,
245,60,67,58,51,64,67,67,67,67,61,56,59,,1.31372549,52.54901961,,
246,59,67,57,56,63,67,67,67,67,63,57,58,,1.31372549,52.54901961,,
247,59,67,57,60,64,67,65,66,67,60,57,61,,1.31372549,52.54901961,,
248,59,68,55,61,64,67,67,67,67,59,57,59,,1.31372549,52.54901961,,
249,59,67,60,56,65,68,67,67,67,59,56,59,,1.333333333,53.33333333,,
250,63,68,55,61,63,68,66,66,68,59,57,58,,1.333333333,53.33333333,,
251,60,69,58,58,64,68,66,66,67,60,57,61,,1.333333333,53.33333333,,
252,59,68,60,59,63,69,68,68,67,63,57,60,,1.352941176,54.11764706,,
253,59,68,57,57,64,68,66,67,68,63,57,60,,1.333333333,53.33333333,,
254,58,67,60,64,63,68,66,68,67,62,57,57,,1.333333333,53.33333333,,
255,59,67,57,61,64,67,65,67,67,63,57,62,,1.31372549,52.54901961,,
256,59,68,53,59,64,67,64,66,67,62,57,61,,1.31372549,52.54901961,,
