,0,1,7,
528,2855.922856,86,69,68
529,2856.962264,84,69,68
530,2858.83515,84,68,67
531,2859.940569,84,68,67
532,2861.851088,84,68,67
533,2863.022933,84,68,67
534,2864.89846,84,68,67
535,2865.877094,84,68,67
536,2866.822784,84,67,66
537,2867.926287,84,68,67
538,2869.98947,84,69,68
539,2871.897559,82,68,67
540,2873.101701,82,67,66
541,2875.040285,82,68,67
542,2876.959544,82,67,66
543,2878.908677,82,67,66
544,2879.941799,82,67,66
545,2881.707987,82,67,66
546,2882.773917,82,67,66
547,2883.791297,82,67,66
548,2884.80705,82,67,66
549,2885.811862,80,66,65
550,2886.710177,80,66,65
551,2887.958641,80,67,66
552,2889.827794,80,66,65
553,2890.902904,80,67,66
554,2891.862649,80,67,66
555,2893.003255,80,67,66
556,2894.954842,80,67,66
557,2896.902001,80,66,65
558,2897.809011,80,67,66
559,2898.929672,78,67,66
560,2901.058778,78,66,65
561,2903.08294,78,66,65
562,2904.912864,78,66,65
563,2905.859103,78,66,65
564,2906.870202,78,66,65
565,2907.900621,78,66,65
566,2908.944387,78,66,65
567,2910.857326,78,66,65
568,2911.985122,78,66,65
569,2913.945318,76,66,65
570,2915.909381,76,66,65
571,2916.918911,76,66,65
572,2918.00931,76,65,64
573,2919.858855,76,65,64
574,2920.823079,76,66,65
575,2921.911394,76,65,64
576,2922.861629,76,66,65
577,2923.880144,76,66,65
578,2924.818692,76,66,65
579,2925.916749,74,65,64
580,2926.920441,74,66,65
581,2927.862326,74,65,64
582,2928.86025,74,65,64
583,2929.80007,74,65,64
584,2930.873322,74,65,64
585,2931.926185,74,66,65
586,2933.888187,74,65,64
587,2934.911636,74,65,64
588,2935.831969,74,65,64
589,2936.861212,72,65,64
590,2937.851221,72,65,64
591,2938.935308,72,64,63
592,2940.994557,72,64,63
593,2942.846206,72,64,63
594,2943.916512,72,65,64
595,2944.81824,72,64,63
596,2945.768244,72,63,62
597,2946.685961,72,64,63
598,2947.85806,72,64,63
599,2948.811659,70,64,63
600,2949.870295,70,64,63
601,2950.943083,70,64,63
602,2952.850133,70,63,62
603,2953.889734,70,63,62
604,2954.873875,70,64,63
605,2955.902645,70,64,63
606,2956.898549,70,63,62
607,2957.804072,70,64,63
608,2958.862838,70,64,63
609,2959.822156,68,63,62
610,2960.849914,68,63,62
611,2961.883312,68,64,63
612,2963.059103,68,63,62
613,2964.911252,68,64,63
614,2965.961108,68,63,62
615,2967.795764,68,63,62
616,2968.833875,68,63,62
617,2969.837158,68,63,62
618,2970.80267,68,63,62
619,2971.791896,66,63,62
620,2972.854835,66,63,62
621,2973.860379,66,63,62
622,2974.896555,66,64,63
623,2975.78017,66,63,62
624,2976.891347,66,63,62
625,2978.059662,66,63,62
626,2979.956605,66,63,62
627,2981.882284,66,63,62
628,2982.942524,66,63,62
629,2984.996982,64,63,62
630,2986.91343,64,62,61
631,2987.888181,64,62,61
632,2988.758016,64,62,61
633,2989.886696,64,62,61
634,2990.924805,64,62,61
635,2993.106978,64,62,61
636,2994.871753,64,62,61
637,2995.925243,64,62,61
638,2997.895739,64,62,61
639,2998.833648,62,62,61
640,2999.794427,62,62,61
641,3000.904059,62,62,61
642,3001.875784,62,62,61
643,3002.807999,62,62,61
644,3003.80449,62,62,61
645,3004.774258,62,61,60
646,3005.910099,62,62,61
647,3007.84891,62,61,60
648,3008.689057,62,62,61
649,3009.702381,60,62,61
650,3010.731757,60,61,60
651,3011.629827,60,61,60
652,3012.7395,60,61,60
653,3013.736116,60,61,60
654,3014.622542,60,60,59
655,3015.682089,60,60,59
656,3016.72626,60,61,60
657,3017.690141,60,60,59
658,3018.785381,60,61,60
659,3019.800703,58,61,60
660,3020.773429,58,60,59
661,3021.764876,58,60,59
662,3022.977842,58,60,59
663,3024.838919,58,60,59
664,3025.818402,58,61,60
665,3026.77626,58,60,59
666,3027.912922,58,60,59
667,3028.933021,58,61,60
668,3030.860989,58,61,60
669,3031.936081,56,60,59
670,3033.950376,56,60,59
671,3035.911451,56,60,59
672,3036.941296,56,60,59
673,3038.737675,56,59,58
674,3039.854686,56,60,59
675,3040.899146,56,60,59
676,3041.772615,56,60,59
677,3042.673109,56,59,58
678,3043.902711,56,60,59
679,3044.796174,54,60,59
680,3045.773636,54,59,58
681,3046.954692,54,59,58
682,3048.771046,54,59,58
683,3049.802298,54,59,58
684,3050.837439,54,59,58
685,3051.875345,54,60,59
686,3053.070285,54,59,58
687,3054.863535,54,60,59
688,3055.817346,54,59,58
689,3056.936537,52,59,58
690,3058.810784,52,59,58
691,3059.745356,52,59,58
692,3060.85126,52,59,58
693,3061.906782,52,59,58
694,3062.7206,52,58,57
695,3063.749212,52,59,58
696,3064.895461,52,59,58
697,3065.825065,52,59,58
698,3066.854921,52,59,58
699,3067.994873,50,59,58
700,3069.869525,50,58,57
701,3070.74956,50,57,56
702,3071.741905,50,58,57
703,3072.702448,50,58,57
704,3073.659359,50,58,57
705,3074.902458,50,58,57
706,3075.805408,50,58,57
707,3076.750151,50,58,57
708,3077.70014,50,58,57
709,3078.762407,48,58,57
710,3079.769794,48,57,56
711,3080.688151,48,58,57
712,3081.707825,48,57,56
