,1,1,,2,2
655,3089.666676,60,72,71,71
656,3091.669576,60,72.8,71.8,71.8
657,3093.663207,60,72.8,71.8,71.8
658,3094.66671,60,73.2,72.2,72.2
659,3095.673727,58,73.2,72.2,72.2
660,3097.695841,58,72.2,71.2,71.2
661,3098.688386,58,72.6,71.6,71.6
662,3099.672934,58,72.6,71.6,71.6
663,3100.664169,58,73,72,72
664,3101.70845,58,72,71,71
665,3102.676528,58,72.4,71.4,71.4
666,3103.672872,58,72.2,71.2,71.2
667,3104.666548,58,73.2,72.2,72.2
668,3106.679339,58,72.6,71.6,71.6
669,3107.652278,56,72.4,71.4,71.4
670,3109.665494,56,73,72,72
671,3110.664845,56,73.2,72.2,72.2
